method,parameter,selection_pct,remaining_samples,stability_rate,stable_count,matgl_energy_mean,matgl_energy_median,gpu_s_per_stable
best_of_n,K=100,0.2%,100,1.0000,100,-6.1746,-6.1683,790.0
best_of_n,K=500,1.0%,500,1.0000,500,-6.0958,-6.0877,158.0
best_of_n,K=1000,2.0%,1000,1.0000,1000,-6.0248,-6.0200,79.0
best_of_n,K=2000,4.0%,2000,0.9325,1865,-5.9028,-5.8883,42.4
best_of_n,K=5000,10.0%,5000,0.6844,3422,-5.7516,-5.6782,23.1
best_of_n,K=10000,20.0%,10000,0.3423,3423,-5.6662,-5.6169,23.1
best_of_n,K=20000,40.0%,20000,0.3010,6020,-5.5622,-5.5473,13.1
best_of_n,K=50000,100.0%,50000,0.1212,6062,-4.4082,-5.1711,13.0
rejection_sampling,threshold=-6.0,,581,1.0000,581,-6.083714,,
rejection_sampling,threshold=-5.5,,13076,0.2619,3424,-5.632972,,
rejection_sampling,threshold=-5.0,,27630,0.2190,6052,-5.463536,,
rejection_sampling,threshold=-4.5,,33073,0.1831,6056,-5.345439,,
rejection_sampling,threshold=-4.0,,38473,0.1574,6057,-5.192512,,
rejection_sampling,threshold=-3.5,,42677,0.1420,6060,-5.051683,,
rejection_sampling,threshold=-3.0,,45410,0.1335,6061,-4.945235,,
